rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
38,paddleocr,,0.50,15,18,6.94,3.67,6.50,146245.17,0.55,0.06,0.00,0.00,0.22,0.03,0.11,2,2631.56,52.13
39,paddleocr,,0.40,15,18,6.94,3.67,6.50,146245.17,0.55,0.06,0.00,0.00,0.22,0.03,0.11,2,2912.47,52.13
40,doclayout,0.10,0.40,20,18,7.00,3.41,7.50,164319.06,0.58,0.12,0.00,0.00,0.17,0.03,0.22,4,16518.96,52.06
41,doclayout,0.10,0.40,5,18,13.83,6.51,12.00,59879.54,0.56,0.09,0.00,0.00,0.61,0.04,0.17,3,16668.73,51.98
42,paddleocr,,0.60,20,18,6.72,3.56,6.00,152200.39,0.55,0.08,0.00,0.00,0.17,0.02,0.06,1,2783.04,51.93
43,doclayout,0.20,0.40,20,18,6.67,3.29,7.00,139361.32,0.55,0.07,0.00,0.00,0.17,0.03,0.11,2,18609.72,51.91
44,doclayout,0.20,0.30,10,18,9.72,4.47,10.50,80466.17,0.54,0.06,0.00,0.00,0.33,0.03,0.06,1,17483.90,51.86
45,paddleocr,,0.60,15,18,7.22,3.75,7.00,140167.88,0.55,0.07,0.00,0.00,0.22,0.03,0.17,3,2508.25,51.59
46,doclayout,0.10,0.30,15,18,7.56,3.42,8.00,135109.23,0.57,0.11,0.00,0.00,0.22,0.03,0.22,4,16848.17,51.58
47,doclayout,0.20,0.30,15,18,7.17,3.35,7.00,121174.04,0.55,0.07,0.00,0.00,0.17,0.03,0.11,2,16933.52,51.54
48,doclayout,0.10,0.40,10,18,10.67,4.97,11.00,90060.80,0.57,0.11,0.00,0.00,0.39,0.03,0.22,4,17240.52,51.54
49,doclayout,0.20,0.40,5,18,12.83,6.06,11.50,56093.05,0.54,0.05,0.00,0.00,0.50,0.04,0.17,3,17648.81,51.46
50,doclayout,0.20,0.50,20,18,6.78,3.23,7.00,134828.52,0.55,0.09,0.00,0.00,0.17,0.03,0.11,2,17050.42,51.45
51,doclayout,0.10,0.50,20,18,7.17,3.35,7.50,159856.12,0.58,0.14,0.00,0.00,0.17,0.03,0.28,5,18293.63,51.45
52,doclayout,0.10,0.40,15,18,7.67,3.43,8.00,134256.66,0.57,0.12,0.00,0.00,0.17,0.03,0.22,4,18025.59,51.42
53,doclayout,0.10,0.50,5,18,14.06,6.61,12.50,60173.83,0.56,0.11,0.00,0.00,0.61,0.04,0.22,4,18778.89,51.40
54,doclayout,0.20,0.40,10,18,9.83,4.53,11.00,80259.59,0.54,0.07,0.00,0.00,0.33,0.03,0.11,2,16652.99,51.34
