2025-10-24 19:33:25.390849: Partida iniciada: Dificultad: NORMAL, Modo barcos: RUSO
2025-10-24 19:34:27.594136: Jugador: Disparo en (0, 9) - Agua
2025-10-24 19:34:28.394156: IA (NORMAL): Disparo en (7, 1) - Agua
2025-10-24 19:34:28.933239: Jugador: Disparo en (1, 8) - Agua
2025-10-24 19:34:29.734463: IA (NORMAL): Disparo en (0, 8) - Agua
2025-10-24 19:34:30.004696: Jugador: Disparo en (1, 6) - Agua
2025-10-24 19:34:30.809182: IA (NORMAL): Disparo en (5, 4) - Tocado
2025-10-24 19:34:30.814880: Jugador: Disparo en (1, 4) - Tocado
2025-10-24 19:34:31.616527: IA (NORMAL): Disparo en (4, 4) - Agua
2025-10-24 19:34:34.430941: Jugador: Disparo en (1, 3) - Tocado
2025-10-24 19:34:35.233020: IA (NORMAL): Disparo en (6, 4) - Agua
2025-10-24 19:34:37.778769: Jugador: Disparo en (1, 2) - Agua
2025-10-24 19:34:38.579520: IA (NORMAL): Disparo en (5, 5) - Hundido
2025-10-24 19:34:39.268128: Jugador: Disparo en (1, 5) - Hundido
2025-10-24 19:34:40.069401: IA (NORMAL): Disparo en (6, 7) - Agua
2025-10-24 19:34:43.451309: Jugador: Disparo en (2, 7) - Agua
2025-10-24 19:34:44.252232: IA (NORMAL): Disparo en (1, 0) - Agua
2025-10-24 19:34:45.188392: Jugador: Disparo en (2, 9) - Agua
2025-10-24 19:34:45.990052: IA (NORMAL): Disparo en (9, 3) - Agua
2025-10-24 19:34:46.566152: Jugador: Disparo en (4, 7) - Agua
2025-10-24 19:34:47.367736: IA (NORMAL): Disparo en (4, 8) - Agua
2025-10-24 19:34:49.184938: Jugador: Disparo en (4, 9) - Agua
2025-10-24 19:34:49.987218: IA (NORMAL): Disparo en (8, 7) - Agua
2025-10-24 19:34:50.259912: Jugador: Disparo en (3, 8) - Tocado
2025-10-24 19:34:51.062871: IA (NORMAL): Disparo en (6, 8) - Agua
2025-10-24 19:34:52.480871: Jugador: Disparo en (4, 8) - Agua
2025-10-24 19:34:53.281267: IA (NORMAL): Disparo en (4, 7) - Agua
2025-10-24 19:34:53.814511: Jugador: Disparo en (3, 7) - Hundido
2025-10-24 19:34:54.615599: IA (NORMAL): Disparo en (2, 2) - Agua
2025-10-24 19:34:56.978574: Jugador: Disparo en (6, 8) - Agua
2025-10-24 19:34:57.780362: IA (NORMAL): Disparo en (6, 6) - Agua
2025-10-24 19:34:58.665878: Jugador: Disparo en (6, 7) - Agua
2025-10-24 19:34:59.468760: IA (NORMAL): Disparo en (2, 3) - Agua
2025-10-24 19:35:01.264226: Jugador: Disparo en (8, 7) - Agua
2025-10-24 19:35:02.065695: IA (NORMAL): Disparo en (2, 5) - Agua
2025-10-24 19:35:02.684072: Jugador: Disparo en (8, 8) - Agua
2025-10-24 19:35:03.484721: IA (NORMAL): Disparo en (0, 4) - Agua
2025-10-24 19:35:03.908008: Jugador: Disparo en (7, 9) - Tocado
2025-10-24 19:35:04.709945: IA (NORMAL): Disparo en (8, 1) - Agua
2025-10-24 19:35:04.965105: Jugador: Disparo en (7, 6) - Agua
2025-10-24 19:35:05.766174: IA (NORMAL): Disparo en (0, 0) - Hundido
2025-10-24 19:35:06.367520: Jugador: Disparo en (6, 9) - Hundido
2025-10-24 19:35:07.171987: IA (NORMAL): Disparo en (8, 9) - Agua
2025-10-24 19:35:07.670788: Jugador: Disparo en (8, 9) - Agua
2025-10-24 19:35:08.471980: IA (NORMAL): Disparo en (1, 4) - Agua
2025-10-24 19:35:09.645510: Jugador: Disparo en (9, 8) - Tocado
2025-10-24 19:35:10.446134: IA (NORMAL): Disparo en (3, 6) - Agua
2025-10-24 19:35:12.095018: Jugador: Disparo en (9, 7) - Tocado
2025-10-24 19:35:12.896875: IA (NORMAL): Disparo en (2, 4) - Agua
2025-10-24 19:35:13.235309: Jugador: Disparo en (9, 6) - Tocado
2025-10-24 19:35:14.037180: IA (NORMAL): Disparo en (2, 9) - Agua
2025-10-24 19:35:14.240767: Jugador: Disparo en (9, 9) - Hundido
2025-10-24 19:35:15.041648: IA (NORMAL): Disparo en (3, 1) - Agua
2025-10-24 19:35:15.697398: Jugador: Disparo en (9, 3) - Agua
2025-10-24 19:35:16.499218: IA (NORMAL): Disparo en (0, 6) - Agua
2025-10-24 19:35:18.036467: Jugador: Disparo en (5, 7) - Agua
2025-10-24 19:35:18.838272: IA (NORMAL): Disparo en (6, 5) - Agua
2025-10-24 19:35:20.120026: Jugador: Disparo en (5, 6) - Agua
2025-10-24 19:35:20.920507: IA (NORMAL): Disparo en (1, 6) - Hundido
2025-10-24 19:35:21.257596: Jugador: Disparo en (6, 6) - Agua
2025-10-24 19:35:22.057712: IA (NORMAL): Disparo en (4, 5) - Agua
2025-10-24 19:35:22.699693: Jugador: Disparo en (7, 7) - Hundido
2025-10-24 19:35:22.700782: Fin de partida: Ganador: Jugador, Puntuación Jugador: 20, Puntuación IA: 15
